Message Id[unsigned short|#],Timestamp[unsigned long|epoch],Latitude[double|�],Longitude[double|�],Mission Time[unsigned long|tod],Depth[float|Meters],Range Setting[short|Meters],Pitch[float|�],Look Down Angle[float|�],Altitude[float|Meters],Sonar Range[float|Meters],Roll[float|�],Sonar Range Minimum[float|Meters],Estimated Range[float|m/s],Estimated Rate[float|m/s],Obstacle Range-Rate Minimum[float|m/s],Obstacle Range Maximum[float|Meters],Obstacle Range Critical[float|Meters],Obstacle Range-Rate Critical[float|m/s],Pings[unsigned long|#],Status[unsigned char|mask],Median Filter Range[float|Meters]
1102,62274,41.5543,-70.7050,62274665,0.05,30,-5.07,25.00,13.83,26.12,14.82,3.30,27.10,-0.43,-1.70,27.00,5.00,-0.70,810,0,26.28
1102,62275,41.5543,-70.7050,62275092,0.09,30,-4.14,25.00,13.83,25.12,-1.47,3.30,26.02,-1.15,-1.70,27.00,5.00,-0.70,811,0,26.28
1102,62275,41.5543,-70.7050,62275520,-0.04,30,-1.29,25.00,13.83,25.48,-12.92,3.30,25.50,-1.17,-1.70,27.00,5.00,-0.70,812,0,26.12
1102,62275,41.5543,-70.7050,62275948,-0.07,30,2.10,25.00,13.96,0.00,-8.71,3.30,25.50,-1.17,-1.70,27.00,5.00,-0.70,813,0,26.12
1102,1419009476,41.5543,-70.7050,62276376,-0.05,30,2.74,25.00,13.96,22.70,5.67,3.30,25.50,-1.17,-1.70,27.00,5.00,-0.70,814,0,25.82
1102,1419009476,41.5543,-70.7050,62276804,0.06,30,0.95,25.00,13.96,27.44,14.97,3.30,25.50,-1.17,-1.70,27.00,5.00,-0.70,815,0,25.82
1102,1419009477,41.5543,-70.7050,62277232,0.09,30,-0.26,25.00,13.96,28.46,9.52,3.30,25.50,-1.17,-1.70,27.00,5.00,-0.70,816,0,25.82
1102,1419009477,41.5543,-70.7050,62277660,0.06,30,-0.59,25.00,13.96,27.80,-8.30,3.30,25.50,-1.17,-1.70,27.00,5.00,-0.70,817,0,26.12
1102,1419009478,41.5543,-70.7050,62278088,0.00,30,-0.80,25.00,13.88,0.00,-14.85,3.30,25.50,-1.17,-1.70,27.00,5.00,-0.70,818,0,26.12
1102,1419009478,41.5543,-70.7050,62278516,-0.03,30,-1.75,25.00,13.88,22.76,-3.93,3.30,25.50,-1.17,-1.70,27.00,5.00,-0.70,819,0,25.48
1102,1419009478,41.5543,-70.7050,62278944,0.02,30,-2.92,25.00,13.88,27.42,10.43,3.30,24.46,-0.87,-1.70,27.00,5.00,-0.70,820,0,27.42
1102,1419009479,41.5543,-70.7050,62279372,0.12,30,-4.17,25.00,13.88,26.12,12.08,3.30,25.10,-0.07,-1.70,27.00,5.00,-0.70,821,0,27.42
1102,1419009479,41.5543,-70.7050,62279800,0.04,30,-2.65,25.00,13.88,26.00,1.52,3.30,25.54,0.30,-1.70,27.00,5.00,-0.70,822,0,27.42
1102,1419009480,41.5543,-70.7050,62280228,-0.01,30,2.24,25.00,13.96,29.10,-4.36,3.30,25.54,0.30,-1.70,27.00,5.00,-0.70,823,0,27.42
1102,1419009480,41.5543,-70.7050,62280656,0.00,30,6.05,25.00,13.96,0.00,-6.37,3.30,25.54,0.30,-1.70,27.00,5.00,-0.70,824,0,27.42
1102,1419009481,41.5543,-70.7050,62281084,0.01,30,3.53,25.00,13.96,29.96,-9.55,3.30,25.54,0.30,-1.70,27.00,5.00,-0.70,825,0,27.42
1102,1419009481,41.5543,-70.7050,62281512,-0.01,30,-1.53,25.00,13.96,0.00,-8.97,3.30,25.54,0.30,-1.70,27.00,5.00,-0.70,826,0,27.42
1102,1419009481,41.5543,-70.7050,62281940,-0.03,30,-3.47,25.00,13.86,26.98,3.30,3.30,26.58,0.36,-1.70,27.00,5.00,-0.70,827,1,26.98
1102,1419009482,41.5543,-70.7051,62282368,0.07,30,-2.70,25.00,13.86,26.76,14.82,3.30,26.75,0.37,-1.70,27.00,5.00,-0.70,828,1,26.98
1102,1419009482,41.5543,-70.7051,62282796,0.13,30,-2.80,25.00,13.86,26.44,-2.39,3.30,26.67,0.19,-1.70,27.00,5.00,-0.70,829,1,26.76
1102,1419009483,41.5543,-70.7051,62283224,-0.01,30,-3.38,25.00,13.86,27.84,-22.01,3.30,27.30,0.62,-1.70,27.00,5.00,-0.70,830,1,26.98
1102,1419009483,41.5543,-70.7051,62283653,-0.08,30,-2.55,25.00,13.86,28.12,-17.27,3.30,27.84,0.84,-1.70,27.00,5.00,-0.70,831,1,27.84
1102,1419009484,41.5543,-70.7051,62284081,-0.08,30,-2.13,25.00,14.20,27.38,6.86,3.30,27.79,0.51,-1.70,27.00,5.00,-0.70,832,1,27.38
1102,1419009484,41.5543,-70.7051,62284509,0.08,30,-3.13,25.00,14.20,28.34,26.18,3.30,28.18,0.64,-1.70,27.00,5.00,-0.70,833,1,27.38
