Message Id[unsigned short|#],Timestamp[unsigned long|epoch],Software Version[unsigned char|#],Temperature[float|°C],Heading Rate[float|°],Pressure[float|mbars],Depth[float|Meters],Depth Goal[float|Meters],OBS[float|n/a],Voltage[float|V],Current[float|A],GFI[float|%],Pitch[float|°],Pitch Goal[float|°],Roll[float|°],Thruster[short|RPM],Thruster Goal[short|RPM],Compass True Heading[float|°],Heading Goal[float|°],Mission Time[unsigned long|tod],Days Since 1970[unsigned short|#],Latitude[double|°],Longitude[double|°],DR Latitude[double|°],DR Longitude[double|°],Goal Latitude[double|°],Goal Longitude[double|°],Estimated Velocity[float|m/s],Heading Offset[float|°],Flags[short|mask],Thruster Command[signed char|#],Pitch Command[signed char|#],Rudder Command[signed char|#],Pitch Fin Position[signed char|#],Rudder Fin Position[signed char|#],Total Objectives[unsigned char|#],Current Objective[unsigned char|#],CPU Usage[unsigned char|%],Objective Index[unsigned char|%],Leg Number[unsigned short|%],Spare Slider[float|#],Roll Rate[float|°/s],Pitch Rate[float|°/s],Faults[unsigned long|mask],Navigation Mode[unsigned char|state],Secondary Faults[unsigned short|mask]
1000,1419009476,22,19.85,-6.12,686.36,-0.07,0.00,0.00,27.78,1.88,0.00,2.63,15.00,-5.49,100,600,260.04,0.00,62276162,16423,41.5543,-70.7050,41.5539,-70.7048,41.5543,-70.7090,0.15,22.95,11328,10,-69,100,-62,75,7,2,100,14,1,0.00,32.81,5.07,8388608,1,772
1000,1419009477,22,19.91,-1.12,686.43,0.04,0.00,0.00,27.78,2.10,0.00,-0.60,0.00,-11.43,256,0,261.05,0.00,62277874,16423,41.5543,-70.7050,41.5539,-70.7048,41.5543,-70.7090,0.15,22.95,11328,0,-100,0,-87,30,7,2,100,14,1,0.00,-28.67,-0.07,8388608,1,772
1000,1419009479,22,20.02,3.40,686.39,0.09,0.00,0.00,27.79,1.61,0.00,-4.18,0.00,9.82,0,0,262.02,0.00,62279586,16423,41.5543,-70.7050,41.5539,-70.7048,41.5543,-70.7090,0.27,1.63,11328,0,-100,0,-99,0,7,2,100,14,1,0.00,-22.32,0.75,8421376,1,772
1000,1419009481,22,20.00,-2.51,686.41,0.01,0.00,0.00,27.79,1.93,0.00,2.20,0.00,-9.99,0,0,258.31,0.00,62281299,16423,41.5543,-70.7050,41.5539,-70.7048,41.5543,-70.7090,0.13,-15.64,11328,0,-100,0,-98,0,7,2,100,14,1,0.00,-2.74,-12.48,8388608,1,772
1000,1419009483,22,19.98,-3.57,686.41,0.08,0.00,0.00,27.79,1.60,0.00,-3.04,0.00,-9.04,0,0,263.21,0.00,62283010,16423,41.5543,-70.7051,41.5539,-70.7049,41.5543,-70.7090,0.33,-6.89,11328,0,-100,0,-99,0,7,2,100,14,1,0.00,-60.23,-1.32,8388608,1,772
1000,1419009484,22,20.20,6.01,686.43,0.16,0.00,0.00,27.79,1.75,0.00,-3.32,0.00,26.49,0,0,262.60,0.00,62284723,16423,41.5543,-70.7051,41.5539,-70.7049,41.5543,-70.7090,0.23,12.90,11328,0,-100,0,-99,0,7,2,100,14,1,0.00,-7.32,1.44,8388624,1,772
1000,1419009486,22,19.99,-0.77,686.40,-0.05,0.00,0.00,27.79,1.85,0.00,1.73,0.00,-1.46,0,0,262.12,0.00,62286435,16423,41.5543,-70.7051,41.5539,-70.7049,41.5543,-70.7090,0.20,2.36,11328,0,-100,0,-99,-1,7,2,100,14,1,0.00,54.73,0.92,8388608,1,772
1000,1419009488,22,19.90,2.42,686.45,-0.04,0.00,0.00,27.79,1.85,0.00,-3.21,0.00,-10.23,0,0,265.68,0.00,62288147,16423,41.5543,-70.7051,41.5539,-70.7049,41.5543,-70.7090,0.17,-1.36,11328,0,-100,0,-99,1,7,2,100,14,1,0.00,5.02,4.51,8388608,1,772
1000,1419009489,22,19.91,3.08,686.38,0.08,0.00,0.00,27.79,1.66,0.00,-3.58,0.00,-0.05,0,0,263.30,0.00,62289859,16423,41.5543,-70.7051,41.5539,-70.7049,41.5543,-70.7090,0.17,-1.36,11328,0,-100,0,-98,0,7,2,100,14,1,0.00,-16.69,1.38,8388608,1,772
1000,1419009491,22,19.80,-0.23,686.38,0.13,0.00,0.00,27.79,1.87,0.00,2.48,0.00,6.99,0,0,263.38,0.00,62291570,16423,41.5543,-70.7051,41.5539,-70.7049,41.5543,-70.7090,0.21,6.61,11328,0,-100,0,-99,0,7,2,100,14,1,0.00,-30.93,1.54,8388608,1,772
1000,1419009493,22,19.93,-6.41,686.40,-0.01,0.00,0.00,27.78,1.84,0.00,-2.95,0.00,-1.89,0,0,262.82,0.00,62293283,16423,41.5543,-70.7051,41.5539,-70.7049,41.5543,-70.7090,0.23,-11.55,11328,0,-100,0,-99,0,7,2,100,14,1,0.00,18.34,-2.00,8388608,1,772
