Message Id[unsigned short|#],Timestamp[unsigned long|epoch],Latitude[double|�],Longitude[double|�],Compass True Heading[float|�],Sound Speed[float|m/s],Reserved[float|n/a],Range Minimum[float|Meters],Range Maximum[float|Meters],Latency[float|msecs],X Angle[float|�],Y Angle[float|�],Range[float|Meters],Gain 1[short|dB],Gain 2[short|dB],Array Sound Speed[short|m/s],Reason[short|mask],X Center[signed char|�],Y Center[signed char|�],Inband SNR[unsigned char|dB],Outband SNR[unsigned char|dB],Transponder Table Index[unsigned char|#],Mission Time[unsigned long|tod]
1098,1419010203,41.5506,-70.7035,354.05,1469.54,0.00,0.00,1008.87,755.00,-8.60,0.00,448.86,128,128,1500,1,-17,0,227,255,0,63003503
1098,1419010214,41.5508,-70.7037,351.20,1469.56,0.00,263.33,679.14,781.00,-4.55,0.00,431.70,128,128,1500,1,-6,0,168,255,0,63014417
1098,1419010237,41.5511,-70.7037,0.02,1469.54,0.00,233.26,640.18,780.00,-14.90,0.00,400.19,128,128,1500,1,-17,0,207,255,0,63037101
1098,1419010245,41.5512,-70.7037,347.14,1469.54,0.00,235.93,610.45,782.00,-2.05,0.00,387.72,128,128,1500,1,-3,0,182,255,0,63045126
1098,1419010253,41.5513,-70.7038,346.20,1469.56,0.00,227.94,592.47,783.00,-0.95,0.00,375.68,128,128,1500,1,-1,0,236,255,0,63053044
1098,1419010260,41.5526,-70.7043,349.96,1469.55,0.00,347.01,379.26,781.00,-3.65,0.00,217.08,128,128,1500,6,-4,0,189,255,0,63060855
1098,1419010269,41.5515,-70.7039,348.17,1469.56,0.00,205.26,561.27,782.00,-2.60,0.00,350.75,128,128,1500,1,-3,0,243,255,0,63069094
1098,1419010277,41.5516,-70.7040,355.19,1469.56,0.00,203.14,536.93,778.00,-8.25,0.00,338.65,128,128,1500,1,-9,0,209,255,0,63077120
1098,1419010297,41.5519,-70.7037,359.96,1469.50,0.00,174.11,501.88,779.00,-19.30,0.00,309.95,128,128,1500,1,-17,0,135,164,0,63097557
1098,1419010304,0.0000,0.0000,0.00,1469.53,0.00,175.99,475.85,0.00,0.00,0.00,0.00,128,128,1500,4,5,0,0,0,0,63104962
1098,1419010330,41.5522,-70.7043,329.47,1469.54,0.00,136.14,447.22,781.00,19.75,0.00,267.40,128,128,1500,1,17,0,90,255,0,63130513
1098,1419010338,41.5523,-70.7044,358.79,1469.52,0.00,147.69,412.42,782.00,-7.75,0.00,256.17,128,128,1500,1,-5,0,118,255,0,63138538
1098,1419010368,41.5527,-70.7038,358.86,1469.58,0.00,108.21,376.55,781.00,-23.15,0.00,224.90,128,128,1500,1,-17,0,176,255,0,63168284
1098,1419010375,0.0000,0.0000,0.00,1469.56,0.00,119.16,348.24,0.00,0.00,0.00,0.00,128,128,1500,4,2,0,0,0,0,63175560
1098,1419010413,41.5530,-70.7045,341.05,1469.52,0.00,63.40,313.27,780.00,9.00,0.00,173.29,128,128,1500,1,5,0,92,255,0,63213330
1098,1419010441,41.5534,-70.7044,359.09,1469.53,0.00,51.49,244.75,780.00,-18.25,0.00,135.43,128,128,1500,1,-17,0,147,255,0,63241151
1098,1419010449,41.5535,-70.7043,328.97,1469.53,0.00,59.09,213.60,781.00,8.55,0.00,124.67,128,128,1500,1,8,0,87,255,0,63249177
1098,1419010469,0.0000,0.0000,0.00,1469.56,0.00,31.68,182.70,0.00,0.00,0.00,0.00,128,128,1500,4,17,0,0,0,0,63269079
1098,1419010477,41.5537,-70.7048,346.14,1469.63,0.00,18.32,172.22,781.00,8.90,0.00,87.94,128,128,1500,1,1,0,123,255,0,63277853
1098,1419010480,41.5538,-70.7048,350.91,1469.67,0.00,37.22,151.09,781.00,4.35,0.00,86.77,128,128,1500,1,6,0,121,255,0,63280421
