
 subsite  | node  | sensor       | bin        | method      | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | conductivity | date_time_string | dcl_controller_timestamp | pressure | temp
----------+-------+--------------+------------+-------------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+--------------+------------------+--------------------------+----------+---------
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690059426.6929998398 |          6 |         3690059420 | 3690059426.6929998398 |      port_timestamp |           ok |      3.57278 |             null |                     null |    0.999 | 12.0247
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered |  3690063026.529999733 |          6 |         3690063020 |  3690063026.529999733 |      port_timestamp |           ok |      3.57986 |             null |                     null |    1.003 | 12.0527
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690066626.4250001907 |          6 |         3690066620 | 3690066626.4250001907 |      port_timestamp |           ok |      3.58244 |             null |                     null |     1.01 | 12.0492
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690070228.1710000038 |          6 |         3690070221 | 3690070228.1710000038 |      port_timestamp |           ok |      3.58513 |             null |                     null |    1.059 | 12.0498
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690073827.8319997787 |          6 |         3690073821 | 3690073827.8319997787 |      port_timestamp |           ok |      3.58784 |             null |                     null |    1.024 | 12.0665
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690077427.2670001984 |          6 |         3690077420 | 3690077427.2670001984 |      port_timestamp |           ok |       3.5882 |             null |                     null |    1.012 | 12.0614
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690081027.0590000153 |          6 |         3690081020 | 3690081027.0590000153 |      port_timestamp |           ok |      3.58241 |             null |                     null |    1.059 | 12.0192
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690084627.2709999084 |          6 |         3690084620 | 3690084627.2709999084 |      port_timestamp |           ok |      3.58507 |             null |                     null |    1.071 | 12.0405
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690088231.7279996872 |          6 |         3690088225 | 3690088231.7279996872 |      port_timestamp |           ok |       3.5822 |             null |                     null |    0.993 | 12.0063
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690091828.3220000267 |          6 |         3690091822 | 3690091828.3220000267 |      port_timestamp |           ok |      3.58387 |             null |                     null |    0.998 |  12.017
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered |  3690095427.609000206 |          6 |         3690095421 |  3690095427.609000206 |      port_timestamp |           ok |      3.58195 |             null |                     null |    1.074 |  11.993
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered |  3690099026.140999794 |          6 |         3690099019 |  3690099026.140999794 |      port_timestamp |           ok |      3.57698 |             null |                     null |    1.054 | 11.9451
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690102626.6680002213 |          6 |         3690102620 | 3690102626.6680002213 |      port_timestamp |           ok |        3.575 |             null |                     null |    1.033 | 11.9255
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690106227.1529998779 |          6 |         3690106220 | 3690106227.1529998779 |      port_timestamp |           ok |      3.57544 |             null |                     null |    1.078 | 11.9251
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered |  3690109825.982000351 |          6 |         3690109819 |  3690109825.982000351 |      port_timestamp |           ok |      3.57924 |             null |                     null |    1.072 | 11.9351
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered |  3690113426.982000351 |          6 |         3690113420 |  3690113426.982000351 |      port_timestamp |           ok |      3.57946 |             null |                     null |     1.06 | 11.9151
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690117025.9960002899 |          6 |         3690117019 | 3690117025.9960002899 |      port_timestamp |           ok |      3.57896 |             null |                     null |    1.044 | 11.8948
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690120626.5929999352 |          6 |         3690120620 | 3690120626.5929999352 |      port_timestamp |           ok |      3.57987 |             null |                     null |    1.042 | 11.8943
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690124226.2090001106 |          6 |         3690124219 | 3690124226.2090001106 |      port_timestamp |           ok |      3.58655 |             null |                     null |    1.036 | 11.9468
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690127825.9960002899 |          6 |         3690127819 | 3690127825.9960002899 |      port_timestamp |           ok |      3.58918 |             null |                     null |     1.03 | 11.9716
 CE01ISSM | SBD17 | 06-CTDBPC000 | 3690057600 | telemetered | 3690131426.8499999046 |          6 |         3690131420 | 3690131426.8499999046 |      port_timestamp |           ok |      3.59077 |             null |                     null |    1.024 | 11.9799
