
 subsite  | node  | sensor       | bin        | method      | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | conductivity | date_time_string | dcl_controller_timestamp | pressure | temp
----------+-------+--------------+------------+-------------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+--------------+------------------+--------------------------+----------+---------
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112226.4499998093 |          5 |         3702112220 | 3702112226.4499998093 |      port_timestamp |           ok |      3.64517 |             null |                     null |    7.367 | 10.8939
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112236.4499998093 |          5 |         3702112230 | 3702112236.4499998093 |      port_timestamp |           ok |      3.64509 |             null |                     null |    6.767 | 10.8936
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112256.4440002441 |          5 |         3702112250 | 3702112256.4440002441 |      port_timestamp |           ok |      3.64516 |             null |                     null |    7.358 | 10.8937
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112266.4440002441 |          5 |         3702112260 | 3702112266.4440002441 |      port_timestamp |           ok |      3.64508 |             null |                     null |    6.643 | 10.8936
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112276.4470000267 |          5 |         3702112270 | 3702112276.4470000267 |      port_timestamp |           ok |      3.64506 |             null |                     null |    6.669 | 10.8935
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112286.4429998398 |          5 |         3702112280 | 3702112286.4429998398 |      port_timestamp |           ok |      3.64512 |             null |                     null |    6.921 | 10.8932
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112306.4600000381 |          5 |         3702112300 | 3702112306.4600000381 |      port_timestamp |           ok |      3.64516 |             null |                     null |    6.836 | 10.8932
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112326.4419999123 |          5 |         3702112320 | 3702112326.4419999123 |      port_timestamp |           ok |      3.64524 |             null |                     null |    7.596 |  10.893
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112336.4429998398 |          5 |         3702112330 | 3702112336.4429998398 |      port_timestamp |           ok |      3.64519 |             null |                     null |    7.386 |  10.893
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112346.4419999123 |          5 |         3702112340 | 3702112346.4419999123 |      port_timestamp |           ok |      3.64515 |             null |                     null |    7.446 | 10.8929
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112356.4429998398 |          5 |         3702112350 | 3702112356.4429998398 |      port_timestamp |           ok |      3.64504 |             null |                     null |    6.755 | 10.8925
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112376.4419999123 |          5 |         3702112370 | 3702112376.4419999123 |      port_timestamp |           ok |      3.64514 |             null |                     null |    7.075 | 10.8928
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112386.4409999847 |          5 |         3702112380 | 3702112386.4409999847 |      port_timestamp |           ok |      3.64515 |             null |                     null |    7.541 | 10.8929
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702112396.4419999123 |          5 |         3702112390 | 3702112396.4419999123 |      port_timestamp |           ok |      3.64514 |             null |                     null |     6.71 | 10.8926
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113123.4489998817 |          5 |         3702113117 | 3702113123.4489998817 |      port_timestamp |           ok |      3.64532 |             null |                     null |    6.901 | 10.8942
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113133.4419999123 |          5 |         3702113127 | 3702113133.4419999123 |      port_timestamp |           ok |      3.64526 |             null |                     null |    6.082 | 10.8942
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113143.4419999123 |          5 |         3702113137 | 3702113143.4419999123 |      port_timestamp |           ok |      3.64529 |             null |                     null |    6.861 | 10.8943
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113153.4440002441 |          5 |         3702113147 | 3702113153.4440002441 |      port_timestamp |           ok |       3.6452 |             null |                     null |    6.883 | 10.8939
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113173.4429998398 |          5 |         3702113167 | 3702113173.4429998398 |      port_timestamp |           ok |       3.6452 |             null |                     null |    6.535 | 10.8934
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113183.4539999962 |          5 |         3702113177 | 3702113183.4539999962 |      port_timestamp |           ok |      3.64513 |             null |                     null |    6.853 | 10.8929
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113193.4429998398 |          5 |         3702113187 | 3702113193.4429998398 |      port_timestamp |           ok |      3.64513 |             null |                     null |    6.965 |  10.893
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113203.4419999123 |          5 |         3702113197 | 3702113203.4419999123 |      port_timestamp |           ok |      3.64507 |             null |                     null |    6.708 | 10.8923
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113223.4429998398 |          5 |         3702113217 | 3702113223.4429998398 |      port_timestamp |           ok |      3.64512 |             null |                     null |    7.429 | 10.8928
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113233.4419999123 |          5 |         3702113227 | 3702113233.4419999123 |      port_timestamp |           ok |      3.64513 |             null |                     null |    7.066 | 10.8928
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113243.4429998398 |          5 |         3702113237 | 3702113243.4429998398 |      port_timestamp |           ok |      3.64509 |             null |                     null |    6.607 | 10.8927
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113253.4419999123 |          5 |         3702113247 | 3702113253.4419999123 |      port_timestamp |           ok |      3.64516 |             null |                     null |      7.3 | 10.8932
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113273.4429998398 |          5 |         3702113267 | 3702113273.4429998398 |      port_timestamp |           ok |      3.64514 |             null |                     null |    6.864 | 10.8933
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113283.4419999123 |          5 |         3702113277 | 3702113283.4419999123 |      port_timestamp |           ok |      3.64508 |             null |                     null |    6.624 | 10.8926
 CE02SHSM | RID27 | 03-CTDBPC000 | 3702067200 | telemetered | 3702113293.4429998398 |          5 |         3702113287 | 3702113293.4429998398 |      port_timestamp |           ok |       3.6451 |             null |                     null |    7.374 | 10.8927

(29 rows)
