
 subsite  | node  | sensor       | bin        | method      | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | conductivity | date_time_string | dcl_controller_timestamp | pressure | temp
----------+-------+--------------+------------+-------------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+--------------+------------------+--------------------------+----------+---------
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560020.9460000992 |          5 |         3706560013 | 3706560020.9460000992 |      port_timestamp |           ok |      3.61935 |             null |                     null |    7.748 | 12.9489
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560030.9400000572 |          5 |         3706560023 | 3706560030.9400000572 |      port_timestamp |           ok |        3.619 |             null |                     null |    6.182 | 12.9446
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560040.9400000572 |          5 |         3706560033 | 3706560040.9400000572 |      port_timestamp |           ok |      3.61896 |             null |                     null |     6.37 |  12.942
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560050.9539999962 |          5 |         3706560043 | 3706560050.9539999962 |      port_timestamp |           ok |      3.61905 |             null |                     null |      5.7 | 12.9452
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560060.9400000572 |          5 |         3706560053 | 3706560060.9400000572 |      port_timestamp |           ok |      3.61862 |             null |                     null |    6.101 | 12.9313
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560070.9400000572 |          5 |         3706560063 | 3706560070.9400000572 |      port_timestamp |           ok |       3.6191 |             null |                     null |    6.667 |  12.946
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560080.9400000572 |          5 |         3706560073 | 3706560080.9400000572 |      port_timestamp |           ok |      3.61887 |             null |                     null |    7.646 | 12.9379
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560090.9400000572 |          5 |         3706560083 | 3706560090.9400000572 |      port_timestamp |           ok |      3.61941 |             null |                     null |    6.745 |  12.954
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560100.9400000572 |          5 |         3706560093 | 3706560100.9400000572 |      port_timestamp |           ok |       3.6185 |             null |                     null |    6.657 | 12.9329
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560110.9400000572 |          5 |         3706560103 | 3706560110.9400000572 |      port_timestamp |           ok |      3.61865 |             null |                     null |    6.654 |  12.937
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560120.9409999847 |          5 |         3706560113 | 3706560120.9409999847 |      port_timestamp |           ok |      3.61891 |             null |                     null |    6.797 | 12.9372
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560130.9449996948 |          5 |         3706560123 | 3706560130.9449996948 |      port_timestamp |           ok |      3.61958 |             null |                     null |    4.638 | 12.9557
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560140.9409999847 |          5 |         3706560133 | 3706560140.9409999847 |      port_timestamp |           ok |      3.61963 |             null |                     null |    6.685 | 12.9561
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560150.9519996643 |          5 |         3706560143 | 3706560150.9519996643 |      port_timestamp |           ok |      3.61975 |             null |                     null |    7.282 | 12.9568
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560160.9429998398 |          5 |         3706560153 | 3706560160.9429998398 |      port_timestamp |           ok |      3.61953 |             null |                     null |    6.968 | 12.9528
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706560170.9479999542 |          5 |         3706560163 | 3706560170.9479999542 |      port_timestamp |           ok |      3.61954 |             null |                     null |     7.13 | 12.9523
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610420.9619998932 |          5 |         3706610413 | 3706610420.9619998932 |      port_timestamp |           ok |      3.61873 |             null |                     null |    7.289 | 13.0637
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610430.9569997787 |          5 |         3706610423 | 3706610430.9569997787 |      port_timestamp |           ok |      3.61882 |             null |                     null |    7.198 | 13.0644
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610440.9569997787 |          5 |         3706610433 | 3706610440.9569997787 |      port_timestamp |           ok |      3.61855 |             null |                     null |    7.167 | 13.0622
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610450.9569997787 |          5 |         3706610443 | 3706610450.9569997787 |      port_timestamp |           ok |      3.61865 |             null |                     null |    6.964 | 13.0631
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610460.9580001831 |          5 |         3706610453 | 3706610460.9580001831 |      port_timestamp |           ok |      3.61868 |             null |                     null |    7.442 | 13.0629
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610470.9560003281 |          5 |         3706610463 | 3706610470.9560003281 |      port_timestamp |           ok |      3.61871 |             null |                     null |    7.269 | 13.0628
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610480.9569997787 |          5 |         3706610473 | 3706610480.9569997787 |      port_timestamp |           ok |      3.61854 |             null |                     null |    7.173 | 13.0661
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610490.9670000076 |          5 |         3706610483 | 3706610490.9670000076 |      port_timestamp |           ok |       3.6191 |             null |                     null |    7.592 | 13.0678
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610500.9569997787 |          5 |         3706610493 | 3706610500.9569997787 |      port_timestamp |           ok |      3.61862 |             null |                     null |    7.685 | 13.0628
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610510.9569997787 |          5 |         3706610503 | 3706610510.9569997787 |      port_timestamp |           ok |      3.61806 |             null |                     null |    7.136 | 13.0573
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610520.9560003281 |          5 |         3706610513 | 3706610520.9560003281 |      port_timestamp |           ok |      3.61733 |             null |                     null |     6.69 | 13.0505
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610530.9560003281 |          5 |         3706610523 | 3706610530.9560003281 |      port_timestamp |           ok |      3.61802 |             null |                     null |    6.426 | 13.0579
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610540.9560003281 |          5 |         3706610533 | 3706610540.9560003281 |      port_timestamp |           ok |      3.61813 |             null |                     null |    7.001 | 13.0586
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610550.9560003281 |          5 |         3706610543 | 3706610550.9560003281 |      port_timestamp |           ok |      3.61814 |             null |                     null |    6.857 | 13.0591
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610560.9569997787 |          5 |         3706610553 | 3706610560.9569997787 |      port_timestamp |           ok |      3.61789 |             null |                     null |    7.106 |  13.056
 CE02SHSM | RID27 | 03-CTDBPC000 | 3706560000 | telemetered | 3706610570.9569997787 |          5 |         3706610563 | 3706610570.9569997787 |      port_timestamp |           ok |      3.61782 |             null |                     null |    7.611 | 13.0561
