
 subsite  | node  | sensor       | bin        | method    | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | date_string | dcl_controller_timestamp | measurement_wavelength_beta | measurement_wavelength_cdom | measurement_wavelength_chl | raw_internal_temp | raw_signal_beta | raw_signal_cdom | raw_signal_chl | time_string
----------+-------+--------------+------------+-----------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+-------------+--------------------------+-----------------------------+-----------------------------+----------------------------+-------------------+-----------------+-----------------+----------------+-------------
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637701022.7349996567 |          2 |         3637701015 | 3637701022.7349996567 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637704623.6830000877 |          2 |         3637704616 | 3637704623.6830000877 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |            2574 |             336 |           2642 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637708223.9670000076 |          2 |         3637708216 | 3637708223.9670000076 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |            2203 |              80 |            362 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637711822.9890003204 |          2 |         3637711815 | 3637711822.9890003204 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             914 |              97 |            454 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637715421.7530002594 |          2 |         3637715414 | 3637715421.7530002594 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |            1030 |             288 |            534 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637719022.3389997482 |          2 |         3637719014 | 3637719022.3389997482 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637722622.9070000648 |          2 |         3637722615 | 3637722622.9070000648 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637726221.7589998245 |          2 |         3637726214 | 3637726221.7589998245 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637729822.7469997406 |          2 |         3637729815 | 3637729822.7469997406 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637733422.6500000954 |          2 |         3637733415 | 3637733422.6500000954 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637737022.9630002975 |          2 |         3637737015 | 3637737022.9630002975 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             841 |             278 |            393 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637740622.5880002975 |          2 |         3637740615 | 3637740622.5880002975 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             685 |              76 |            375 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637744224.2829999924 |          2 |         3637744216 | 3637744224.2829999924 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             727 |              78 |            376 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637747823.1529998779 |          2 |         3637747815 | 3637747823.1529998779 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637751421.4720001221 |          2 |         3637751413 | 3637751421.4720001221 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637755022.6750001907 |          2 |         3637755015 | 3637755022.6750001907 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637758623.2720003128 |          2 |         3637758615 | 3637758623.2720003128 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |            1193 |             604 |            456 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637762223.2300000191 |          2 |         3637762215 | 3637762223.2300000191 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             888 |              89 |            295 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637765822.4239997864 |          2 |         3637765814 | 3637765822.4239997864 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637769422.8489999771 |          2 |         3637769415 | 3637769422.8489999771 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637773023.5120000839 |          2 |         3637773015 | 3637773023.5120000839 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             947 |             112 |            329 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637776622.3319997787 |          2 |         3637776614 | 3637776622.3319997787 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered | 3637780222.7430000305 |          2 |         3637780215 | 3637780222.7430000305 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             806 |              94 |            250 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3637699200 | recovered |  3637783823.111000061 |          2 |         3637783815 |  3637783823.111000061 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null

(24 rows)
