
 subsite  | node  | sensor       | bin        | method      | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | date_string | dcl_controller_timestamp | measurement_wavelength_beta | measurement_wavelength_cdom | measurement_wavelength_chl | raw_internal_temp | raw_signal_beta | raw_signal_cdom | raw_signal_chl | time_string
----------+-------+--------------+------------+-------------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+-------------+--------------------------+-----------------------------+-----------------------------+----------------------------+-------------------+-----------------+-----------------+----------------+-------------
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499213.7449998856 |          5 |         3702499140 | 3702499213.7449998856 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               556 |             406 |              66 |            181 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499214.8740000725 |          5 |         3702499141 | 3702499214.8740000725 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               556 |             411 |              64 |            183 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499316.5109996796 |          5 |         3702499243 | 3702499316.5109996796 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             698 |              65 |            184 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499317.6400003433 |          5 |         3702499244 | 3702499317.6400003433 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             493 |              62 |            201 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499318.7690000534 |          5 |         3702499245 | 3702499318.7690000534 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             510 |              64 |            194 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499337.9580001831 |          5 |         3702499264 | 3702499337.9580001831 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             451 |              64 |            208 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499339.1259999275 |          5 |         3702499266 | 3702499339.1259999275 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             436 |              65 |            178 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499340.2160000801 |          5 |         3702499267 | 3702499340.2160000801 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             366 |              64 |            184 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered |  3702499341.345000267 |          5 |         3702499268 |  3702499341.345000267 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             433 |              63 |            191 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered |  3702499354.892999649 |          5 |         3702499281 |  3702499354.892999649 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             341 |              66 |            200 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499367.3120002747 |          5 |         3702499294 | 3702499367.3120002747 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             493 |              66 |            177 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702499381.9890003204 |          5 |         3702499308 | 3702499381.9890003204 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             418 |              69 |            189 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702501015.0510001183 |          5 |         3702500942 | 3702501015.0510001183 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               557 |             495 |              66 |            165 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702501016.1809997559 |          5 |         3702500943 | 3702501016.1809997559 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               556 |             391 |              64 |            165 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered |  3702501103.131000042 |          5 |         3702501030 |  3702501103.131000042 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             384 |              65 |            168 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702501115.5529999733 |          5 |         3702501042 | 3702501115.5529999733 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             435 |              63 |            172 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702501143.7839999199 |          5 |         3702501070 | 3702501143.7839999199 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             342 |              64 |            178 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702502884.3509998322 |          5 |         3702502811 | 3702502884.3509998322 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             334 |              63 |            156 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702502908.0609998703 |          5 |         3702502835 | 3702502908.0609998703 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             350 |              64 |            180 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702499200 | telemetered | 3702502931.7699999809 |          5 |         3702502858 | 3702502931.7699999809 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             444 |              64 |            178 |        null

(20 rows)
