
 subsite  | node  | sensor       | bin        | method      | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | date_string | dcl_controller_timestamp | measurement_wavelength_beta | measurement_wavelength_cdom | measurement_wavelength_chl | raw_internal_temp | raw_signal_beta | raw_signal_cdom | raw_signal_chl | time_string
----------+-------+--------------+------------+-------------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+-------------+--------------------------+-----------------------------+-----------------------------+----------------------------+-------------------+-----------------+-----------------+----------------+-------------
 CE02SHSM | RID27 | 02-FLORTD000 | 3702240000 | telemetered | 3702282345.2490000725 |          5 |         3702282273 | 3702282345.2490000725 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               556 |             225 |              63 |            169 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702240000 | telemetered | 3702282346.3789997101 |          5 |         3702282274 | 3702282346.3789997101 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               556 |             237 |              61 |            150 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702240000 | telemetered | 3702282347.5089998245 |          5 |         3702282275 | 3702282347.5089998245 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               556 |             219 |              65 |            143 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702240000 | telemetered | 3702282354.2860002518 |          5 |         3702282282 | 3702282354.2860002518 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               556 |             225 |              63 |            149 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702240000 | telemetered | 3702282382.5240001678 |          5 |         3702282310 | 3702282382.5240001678 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               555 |             232 |              62 |            141 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702240000 | telemetered | 3702282383.6529998779 |          5 |         3702282311 | 3702282383.6529998779 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               555 |             229 |              62 |            143 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702240000 | telemetered | 3702282384.7890000343 |          5 |         3702282312 | 3702282384.7890000343 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               555 |             225 |              66 |            159 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702240000 | telemetered |  3702282411.892999649 |          5 |         3702282340 |  3702282411.892999649 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             225 |              64 |            161 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702240000 | telemetered | 3702282413.0220003128 |          5 |         3702282341 | 3702282413.0220003128 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             212 |              63 |            158 |        null
