
 subsite  | node  | sensor       | bin        | method      | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | date_string | dcl_controller_timestamp | measurement_wavelength_beta | measurement_wavelength_cdom | measurement_wavelength_chl | raw_internal_temp | raw_signal_beta | raw_signal_cdom | raw_signal_chl | time_string
----------+-------+--------------+------------+-------------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+-------------+--------------------------+-----------------------------+-----------------------------+----------------------------+-------------------+-----------------+-----------------+----------------+-------------
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498359.3559999466 |          5 |         3702498286 | 3702498359.3559999466 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             386 |              67 |            184 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498372.9130001068 |          5 |         3702498299 | 3702498372.9130001068 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             560 |              63 |            174 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498379.6900000572 |          5 |         3702498306 | 3702498379.6900000572 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             446 |              69 |            184 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498380.8199996948 |          5 |         3702498307 | 3702498380.8199996948 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             380 |              65 |            195 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498384.2080001831 |          5 |         3702498311 | 3702498384.2080001831 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             504 |              64 |            178 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498385.3380002975 |          5 |         3702498312 | 3702498385.3380002975 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             643 |              66 |            192 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498386.4679999352 |          5 |         3702498313 | 3702498386.4679999352 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               554 |             481 |              64 |            198 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498387.5970001221 |          5 |         3702498314 | 3702498387.5970001221 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             426 |              64 |            182 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498398.8949999809 |          5 |         3702498325 | 3702498398.8949999809 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             392 |              64 |            184 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498402.2839999199 |          5 |         3702498329 | 3702498402.2839999199 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             421 |              66 |            157 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498403.4140000343 |          5 |         3702498330 | 3702498403.4140000343 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             403 |              63 |            178 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498404.5480003357 |          5 |         3702498331 | 3702498404.5480003357 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             469 |              63 |            182 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498411.3210000992 |          5 |         3702498338 | 3702498411.3210000992 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             348 |              65 |            187 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498412.4510002136 |          5 |         3702498339 | 3702498412.4510002136 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             397 |              64 |            204 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498413.5810003281 |          5 |         3702498340 | 3702498413.5810003281 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             482 |              64 |            168 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498414.7109999657 |          5 |         3702498341 | 3702498414.7109999657 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               553 |             414 |              64 |            184 |        null
