Parameter,Vent-Instrument,Start Time,Stop Time,Port,Lat,Lon,Depth,T,pH25_C,Alkalinity,H2S,Si,Ammonia,Chloride,Sulfate,Na,K,Mg,Ca,Bromide,Fe,Mn,Li,Sr,B,Rb,Cs,Sr,Ba,Co,Ni,Cu,Zn,Mo,Ag,Cd,Ti,Al,Pb,V,U,Y,Gd
Unit,NaN,mm/dd/yyyy hh:mm,mm/dd/yyyy hh:mm,NaN,dec.deg,dec.deg,m,deg Celsius,NaN,meq/kg,mmol/kg,mmol/kg,mmol/kg,mmol/kg,mmol/kg,mmol/kg,mmol/kg,mmol/kg,mmol/kg,umol/kg,umol/kg,umol/kg,umol/kg,umol/kg,umol/kg,umol/kg,nmol/kg,umol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg,nmol/kg
Method,NaN,NaN,NaN,NaN,NaN,NaN,NaN,inst avg,ISE,elec.titn.,MBC,SiBC,Indo,IC,IC,IC,IC,IC,IC,IC,ICPAES,ICPAES,IC or FAE,ICPAES,ICPAES,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS,ICPMS
Precision (�1s),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,2%,5%,3%,3%,3%,2%,0.30%,5%,0.40%,0.50%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
Lab,NaN,NaN,NaN,NaN,NaN,NaN,NaN,in-situ,shipboard,shipboard,Butterfield,Wheat:MLML,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Butterfield,Wheat,Wheat,Wheat,Wheat
Sample,Mrkr151-RASFL,9/12/13 0:00,9/12/13 0:03,1,45.926213,-129.978992,-1520,94,7.4,-0.27,4.7,17.5,576,576,2.47,485,16,3.8,33.1,851,2197,477,797,114,489,9.2,102,150.5,181.8,173.7,150.7,127.1,166.7,134.4,149.4,137.1,119.9,113.4,195.9,170.3,151.8,187.3,106.1
Sample,Mrkr151-RASFL,9/19/13 0:00,9/19/13 0:03,2,45.926213,-129.978992,-1520,94.1,6.5,-0.32,5,18,579,579,1.04,485,16.6,2.1,33.8,851,2466,486,840,117,535,9.3,105,167.4,177.6,116.8,156.1,186.9,127.3,100.5,158.4,134.5,178.2,121,137.8,149.9,133.8,138.1,156.7
Sample,Mrkr151-RASFL,9/26/13 0:00,9/26/13 0:03,3,45.926213,-129.978992,-1520,96.7,3.9,-0.17,5.6,18.5,580,580,0.85,486,16.3,1.7,34.5,940,2293,499,834,116,513,9.5,102,160.5,124.2,120.6,115.7,153.7,127.3,109.4,121.3,138.6,179.6,183.9,190.3,167.1,165.2,103.7,104.7
Sample,Mrkr151-RASFL,10/3/13 0:00,10/3/13 0:03,4,45.926213,-129.978992,-1520,94.4,5.6,-0.23,6,18.7,580,580,0.83,485,17.5,1.6,34,878,2517,495,880,121,580,9.9,99,103.9,109,105.1,189.7,127.8,133.9,135.4,162.1,119.3,135.4,115.9,184.3,115.6,169.8,102.1,103.1
Sample,Mrkr151-RASFL,10/10/13 0:00,10/10/13 0:03,5,45.926213,-129.978992,-1520,97.1,4.5,-0.29,5.1,18.1,573,573,1.24,476,17.3,2.8,33.7,920,2976,658,857,121,513,8.8,94.1,101.2,163.9,182.8,140.7,145.4,155.5,187.5,173.6,151.4,188.5,141.6,101.6,105.9,132.8,103.7,142.8
Sample,Mrkr151-RASFL,10/17/13 0:00,10/17/13 0:03,6,45.926213,-129.978992,-1520,102.8,4.5,-1.56,6.1,19.1,580,580,1.1,486,15.6,2.4,32.4,865,3644,700,781,109,504,8.8,99,131,141.8,130,128.4,147.2,169.2,116.1,199.8,142.9,100.5,180.4,135.7,129.7,122.6,112.9,168
Sample,Mrkr151-RASFL,10/24/13 0:00,10/24/13 0:03,7,45.926213,-129.978992,-1520,99.2,6.3,-0.93,5.2,18.4,573,573,1.77,480,17.1,2.2,34.2,852,2154,502,865,124,575,9.5,107,184.3,189.9,167.5,122.1,171.8,164.5,172,110.2,114.2,182.9,161.3,174,172.8,153.4,166.5,129.5
Sample,Mrkr151-RASFL,10/31/13 0:00,10/31/13 0:03,8,45.926213,-129.978992,-1520,99.2,6.4,-0.73,5,17.4,571,571,4.34,480,16.1,3.7,35,927,2147,488,805,119,517,9.3,104,152.1,140,100.1,140.3,129.3,144.3,105.8,115.9,149.3,183.1,136.5,109.5,101,185.9,106.6,108
Sample,Mrkr151-RASFL,11/7/13 0:00,11/7/13 0:03,9,45.926213,-129.978992,-1520,95.8,6.9,-0.47,6.2,21.1,583,583,0.82,491,16.3,1.5,33.2,930,2849,700,822,111,537,9.6,98,197.4,113.1,177,162.5,188.8,112.5,177.4,157,156.9,169.8,135.2,106.2,126.3,156.5,180.2,107.4
Sample,Mrkr151-RASFL,11/14/13 0:00,11/14/13 0:03,10,45.926213,-129.978992,-1520,95.6,4.9,-0.57,5.9,20.9,582,582,1.14,490,16,2,33.2,934,2748,688,802,109,506,9.3,102,171.2,161.5,151,158.7,150.3,145.1,189,146.8,123,144,160.1,111.1,115.9,131,101.2,103
Sample,Mrkr151-RASFL,11/21/13 0:00,11/21/13 0:03,11,45.926213,-129.978992,-1520,98,5.6,-0.37,5.1,17.6,592,592,4.07,497,16.8,3,36.4,946,2782,636,827,126,558,9.7,105,163.1,155.8,158,159,196.4,199.9,172.5,169.5,146.7,121.6,186.3,136.5,156.7,124.5,144,107
Sample,Mrkr151-RASFL,11/28/13 0:00,11/28/13 0:03,12,45.926213,-129.978992,-1520,104.8,7,-0.43,5.1,19.6,588,588,1.43,494,16,2.9,33.6,933,2817,639,800,113,502,8.9,98,131.6,163.7,104.3,185.8,161.7,173.9,110.7,186.6,143.8,182.6,180.8,182.2,140.4,192.6,192,131.3
Sample,Mrkr151-RASFL,12/5/13 0:00,12/5/13 0:03,13,45.926213,-129.978992,-1520,97.7,5.7,2.09,0.0018,1.17,538,538,27.02,460,10.3,50.7,10.6,847,84,32,33,91,434,1.8,4.9,114.8,107.7,188.5,156.9,193.8,134.8,151.4,168.2,146.5,103.1,119.8,145.5,100.6,186.5,192.6,182.9
Sample,Mrkr151-RASFL,12/12/13 0:00,12/12/13 0:03,14,45.926213,-129.978992,-1520,101.3,6.3,-0.28,5.3,19.9,583,583,1.07,489,17,1.8,33.8,902,2435,534,868,120,570,8,90,195.9,168.6,155.2,198.5,157.7,150.4,180.8,181.4,160.8,132.4,136.7,161.9,177.3,119.6,162.7,181.3
Sample,Mrkr151-RASFL,12/19/13 0:00,12/19/13 0:03,15,45.926213,-129.978992,-1520,91.8,7.3,-0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113.6,177.2,128.5,107.7,182.5,108.2,153.9,156.4,187.1,155.1,183.8,169.9,164.4,140.5,125.6,150.7
Sample,Mrkr151-RASFL,12/26/13 0:00,12/26/13 0:03,16,45.926213,-129.978992,-1520,92.6,5.1,-0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,177.9,180.2,107.9,198.4,110.5,166.4,133.9,113.8,196.7,151.8,133.4,112.3,165.4,154.5,195.6,111.8
Sample,Mrkr151-RASFL,1/2/14 0:00,1/2/14 0:03,17,45.926213,-129.978992,-1520,105.1,3.8,-0.04,4.7,18,531,531,1.06,422,16,2,44.3,778,264,386,594,150,595,8.2,108,135.6,118.3,141.1,163.1,199.7,123.2,129.5,160.3,198.4,104.9,122.1,124.7,160.6,154.9,166.2,120.3
Sample,Mrkr151-RASFL,1/9/14 0:00,1/9/14 0:03,18,45.926213,-129.978992,-1520,94.3,4.6,-0.28,4.6,17.7,530,530,0.89,423,14.8,1.5,44.3,787,246,363,562,140,602,8.6,109,141.5,191.1,186,182.6,146.4,170.6,133.6,173.8,147.6,190.4,191.9,180.7,185.3,172.7,158.4,166
Sample,Mrkr151-RASFL,1/16/14 0:00,1/16/14 0:03,19,45.926213,-129.978992,-1520,96.9,5.3,1.88,0.01,1.53,536,536,25.8,457,10.6,48.9,12.1,833,8,33,57,94,430,1.8,8.4,178.8,189.8,102.7,155.3,149,199.1,148.1,190.2,122.5,160.4,187.8,125.7,141.3,101.4,132.8,138.1
Sample,Mrkr151-RASFL,1/23/14 0:00,1/23/14 0:03,20,45.926213,-129.978992,-1520,101.7,3.9,1.94,0.0049,1.92,536,536,25.6,456,10.6,48.6,12.7,850,23,31,66,93,422,2,11,173.9,140.1,158.1,188,199.6,193.1,108.3,124.3,101,128.8,116.4,188.3,188.6,142.7,119.9,123.4
Sample,Mrkr151-RASFL,1/30/14 0:00,1/30/14 0:03,21,45.926213,-129.978992,-1520,90.1,5.6,-0.14,4.4,17.1,531,531,2.79,427,14.1,5.2,41.4,800,226,356,514,133,530,8.15,102,121,156.6,148.7,155.5,101.1,165.3,170.3,182.3,191.8,168.3,170.7,121.7,191.4,153.6,181.3,174.6
Sample,Mrkr151-RASFL,2/6/14 0:00,2/6/14 0:03,22,45.926213,-129.978992,-1520,102.5,6,-0.11,4.7,17.9,531,531,1.21,425,14.7,1.5,44.3,808,234,374,563,142,543,8.59,109,190.7,156.8,140.5,162,140.3,182.6,167.6,102.7,174.2,149,111.9,124.2,132.9,175.8,110.8,136.7
Sample,Mrkr151-RASFL,2/13/14 0:00,2/13/14 0:03,23,45.926213,-129.978992,-1520,97.3,5.1,-0.27,4.1,18.6,529,529,0.83,423,14.7,0.7,44.8,834,272,410,574,142,561,8.67,115,172.8,192.3,111.2,135.9,123.6,182.5,174.3,169.1,138.6,199.8,189.3,195.5,150.5,171.3,189.1,101.6
Sample,Mrkr151-RASFL,2/20/14 0:00,2/20/14 0:03,24,45.926213,-129.978992,-1520,106,6,0.02,4.7,18.1,529,529,1.24,423,14.6,2.3,43.3,865,269,389,553,139,510,8.08,103,122.4,187.2,118.8,107.3,165.6,185.4,141.6,121.7,144.6,186.6,165.9,160.9,124.7,184.4,172.7,183.3
Sample,Mrkr151-RASFL,2/27/14 0:00,2/27/14 0:03,25,45.926213,-129.978992,-1520,90.6,3.9,-0.32,4.5,17.5,547,547,1.7,443,15.6,3.3,41.7,877,305,309,578,144,567,8.6,111,195.5,112.4,162.4,177.1,123.1,142.1,197.9,199.8,162.4,143.9,132.5,105.4,126.4,179.2,170.1,159.6
Sample,Mrkr151-RASFL,3/6/14 0:00,3/6/14 0:03,26,45.926213,-129.978992,-1520,98,7.2,-0.29,4,17.3,549,549,1.01,444,15.8,3.5,40.9,907,301,307,586,141,580,8.68,107,136.1,179.8,122.4,118.3,148.1,137.9,131,197.5,175,191.5,136.3,181.2,151.5,149.1,159.6,155.7
Sample,Mrkr151-RASFL,3/13/14 0:00,3/13/14 0:03,27,45.926213,-129.978992,-1520,105,5.9,-0.11,3.6,19.4,551,551,1.25,447,15.4,2.2,42.1,889,334,378,569,142,533,8.38,107,169.3,139.3,158,168.8,191.8,132.9,199.7,160.4,165.6,127.9,112.5,183.5,172.3,107.6,179.1,187.5
