Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.WC
Processed: 07/18/2014 17:47:40
Using Version: 1.11
Device: WM
Start Date: 04/17/2014
Timestamp (s)	Depth (dbar)	Suspect Timestamp	Encoder Counts	Current (A)	Status	Velocity(c/s)	Temperature (C)	Voltage	Time Counts	Discharge Counts	Rope On Drum(m)
1397773522.558	0.563	y	-1494303	-0.01	0000F000	0	12	32.7	1290	8643	9.55
1397773523.183	0.560	n	-1494303	-0.03	0000F000	0	12	32.4	1290	8643	9.55
1397773523.246	0.559	n	-1494303	0.00	0000F000	0	12	32.4	1290	8643	9.55
1397773523.308	0.553	n	-1494303	0.00	0000F000	0	12	32.4	1290	8643	9.55
1397773523.371	0.546	n	-1494303	-0.02	0000F000	0	12	32.4	1290	8643	9.55
1397773523.433	0.540	n	-1494303	-0.02	0000F000	0	12	32.5	1290	8643	9.55
1397773523.496	0.529	n	-1494303	-0.01	0000F000	0	12	32.4	1290	8643	9.55
1397773523.558	0.526	n	-1494303	-0.02	0000F000	0	12	32.4	1290	8643	9.55
1397773523.621	0.518	n	-1494303	-0.01	0000F000	0	12	32.4	1290	8643	9.55
1397773523.683	0.513	n	-1494303	-0.01	0000F000	0	12	32.5	1290	8643	9.55
1397773523.746	0.505	n	-1494303	0.00	0000F000	0	12	32.6	1290	8643	9.55
1397773523.808	0.497	n	-1494303	-0.01	0000F000	0	12	32.7	1290	8643	9.55
1397773523.871	0.486	n	-1494303	-0.01	0000F000	0	12	32.7	1290	8643	9.55
1397773523.933	0.477	n	-1494303	-0.02	0000F000	0	12	32.4	1290	8643	9.55
1397773523.996	0.472	n	-1494303	-0.01	0000F000	0	12	32.5	1290	8643	9.55
1397773524.058	0.466	n	-1494303	-0.01	0000F000	0	12	32.4	1290	8643	9.55
1397773524.121	0.456	n	-1494303	-0.03	0000F000	0	12	32.7	1290	8643	9.55
1397773524.183	0.446	n	-1494303	0.01	0000F000	0	12	32.4	1290	8643	9.55
1397773524.246	0.438	n	-1494303	-0.01	0000F000	0	12	32.5	1290	8643	9.55
1397773524.308	0.429	n	-1494303	-0.02	0000F000	0	12	32.5	1290	8643	9.55
